country,four_regions,income,total_GDP,breast_cancer_female,cervical_cancer_female,colon_cancer_female,liver_cancer_female,lung_cancer_female,stomach_cancer_female,colon_cancer_male,liver_cancer_male,lung_cancer_male,prostate_cancer_male,stomach_cancer_male
Algeria,africa,10634.0,58856686556.8579,16.7,12.7,4.6,1.0,2.0,3.0,5.1,0.8,16.4,4.8,5.6
Angola,africa,3759.0,10780448533.6873,17.1,23.2,2.8,3.6,1.3,9.1,4.0,5.2,7.0,11.1,13.3
Argentina,americas,9574.0,242076212334.264,19.42,4.45,8.8,2.84,7.08,3.45,13.76,4.58,31.87,15.61,9.15
Armenia,europe,3654.0,2370398385.07891,22.09,4.81,8.03,2.7,5.96,5.76,9.64,4.3,45.62,6.26,15.33
Australia,asia,36375.0,442135393398.514,16.43,1.36,11.12,1.6,14.31,2.27,15.64,3.69,30.4,15.85,4.84
Austria,europe,39370.0,196998621885.414,17.52,2.4,10.03,2.24,11.77,4.48,18.7,6.87,35.92,14.63,8.5
Azerbaijan,europe,5338.0,6408834566.08973,10.34,1.24,3.97,2.0,4.63,11.04,5.14,3.3,21.83,7.27,21.97
Bahamas,americas,26260.0,6669320175.47359,21.5,6.2,8.9,3.8,4.8,6.1,8.6,4.6,19.7,35.6,12.4
Bahrain,asia,43654.0,8775886900.08113,17.7,4.8,4.8,3.9,12.4,5.1,8.0,4.0,28.6,9.9,7.1
Bangladesh,asia,1721.0,51800799317.3846,7.3,14.8,0.6,1.3,3.3,0.8,0.6,1.2,20.8,0.2,1.4
Barbados,americas,14275.0,2343386638.98934,25.5,9.4,11.1,3.5,3.0,5.4,14.9,3.9,14.4,55.3,17.1
Belarus,europe,8144.0,14011685603.183,13.72,4.76,10.66,1.8,3.67,11.22,18.58,4.5,55.31,11.42,29.67
Belgium,europe,38036.0,237741668285.246,27.7,3.4,14.1,2.3,10.1,4.3,18.7,4.5,69.9,20.3,8.1
Belize,americas,7548.0,917848110.522823,11.9,23.0,2.9,11.5,3.3,8.9,3.2,5.0,19.6,35.2,17.5
Benin,africa,1586.0,2474121746.58228,19.8,23.8,3.3,5.5,0.6,3.4,4.7,15.1,2.4,16.0,3.2
Bhutan,asia,4062.0,498509593.500467,9.6,14.1,2.1,1.3,2.2,3.0,3.0,2.5,11.0,2.7,5.7
Bolivia,americas,4335.0,8751510219.96846,11.6,30.4,5.5,2.6,3.1,7.2,10.3,3.5,11.6,19.1,16.9
Bosnia and Herzegovina,europe,6660.0,6052904903.93782,20.7,8.0,11.9,3.6,10.5,6.9,18.9,6.8,52.3,10.8,15.2
Botswana,africa,10577.0,6357436298.94717,25.0,24.7,3.9,2.3,3.0,2.1,5.7,4.4,8.5,25.8,3.6
Brazil,americas,11638.0,670512665737.212,10.8,4.86,5.51,2.94,6.02,4.52,5.9,4.36,16.12,12.12,11.14
Brunei,asia,76130.0,6404574284.02905,9.0,9.6,8.5,2.9,10.8,5.4,10.2,9.0,22.5,4.1,13.7
Bulgaria,europe,10220.0,14064179291.3145,14.36,5.63,10.61,3.2,6.28,7.34,17.51,7.3,39.73,9.67,14.35
Burkina Faso,africa,1099.0,2915395385.21952,22.1,18.5,1.0,8.2,2.1,3.4,3.7,23.8,4.6,11.8,2.2
Burundi,africa,731.0,890414598.42312,14.2,34.6,3.8,8.5,2.1,5.2,6.1,20.8,3.5,11.8,7.0
Cambodia,asia,1516.0,4211787742.80549,9.5,21.6,3.5,2.4,4.5,4.3,6.9,14.2,20.9,4.6,13.8
Cameroon,africa,2480.0,10952001542.1493,22.1,28.9,3.7,13.0,0.3,2.8,4.0,40.7,3.0,21.3,0.5
Canada,americas,38270.0,759428612127.489,17.6,1.47,9.73,1.68,25.05,2.27,15.5,3.82,42.85,13.34,4.62
Cape Verde,africa,3910.0,602555643.262388,19.8,23.8,3.3,5.5,0.6,3.4,4.7,15.1,2.4,16.0,3.2
Chad,africa,1120.0,1677840504.22094,12.1,23.0,3.0,13.2,0.7,12.0,2.2,27.3,4.6,21.1,12.6
Chile,americas,15075.0,79448554862.667,11.26,6.94,6.56,3.31,7.32,10.29,7.51,5.21,18.89,17.9,28.34
China,asia,4285.0,1416061653927.37,5.5,3.8,5.3,13.3,16.3,15.1,7.9,35.3,36.7,1.0,32.7
Colombia,americas,8488.0,104603036182.3,9.33,8.38666666666667,5.655,4.715,7.18,9.345,5.65,4.91,14.41,14.97,17.665
Comoros,africa,1513.0,217279132.956167,14.2,34.6,3.8,8.5,2.1,5.2,6.1,20.8,3.5,11.8,7.0
"Congo, Dem. Rep.",africa,507.0,4361586317.79577,7.4,20.9,2.9,16.4,0.6,16.8,0.9,29.6,4.4,25.2,17.9
"Congo, Rep.",africa,4778.0,3495993272.28293,14.0,24.6,2.5,7.8,0.5,1.2,3.9,16.1,3.6,5.3,1.8
Costa Rica,americas,9548.0,16585867507.482,11.58,5.25,6.62,4.22,3.69,10.84,6.84,6.84,9.7,15.57,21.36
Cote d'Ivoire,africa,2904.0,10265778787.134,18.3,24.3,2.3,4.9,1.2,3.4,3.4,12.6,6.0,16.6,3.8
Croatia,europe,16977.0,23392545951.0607,16.95,2.49,12.48,2.5,10.21,7.35,24.34,7.24,58.98,12.87,16.17
Cuba,americas,11715.0,31988401919.2071,13.87,5.49,11.12,3.52,15.64,3.02,8.98,4.34,35.8,20.09,5.47
Cyprus,europe,31373.0,9892554194.15646,29.6,5.3,12.8,1.2,5.3,3.6,15.2,3.6,24.8,28.2,5.8
Denmark,europe,41947.0,161961831921.802,24.29,2.83,14.57,1.08,27.8,2.725,20.555,3.99,40.1,21.29,5.11
Djibouti,africa,2114.0,577248676.089627,14.2,34.6,3.8,8.5,2.1,5.2,6.1,20.8,3.5,11.8,7.0
Ecuador,americas,7753.0,17650754679.2296,5.47,4.48,3.38,5.14,3.52,12.45,2.76,5.08,7.18,10.31,16.73
Egypt,africa,8013.0,105818387281.584,17.3,7.9,2.7,3.3,2.8,1.9,3.9,6.0,8.4,3.8,3.2
El Salvador,americas,6469.0,13671259606.8535,4.23,7.51,2.37,4.52,3.19,8.56,2.31,3.95,5.95,7.63,12.88
