country,four_regions,income,total_GDP,life_expectancy,child_mortality,health_spending,sanitation
Algeria,africa,12606.0,81143448101.38,76.1,26.6,178.24506554,95.0
Andorra,europe,41958.0,54078691961.4055,84.7,3.2,3099.41322539,100.0
Angola,africa,7094.0,27013935821.431,58.1,177.3,123.20109633,58.0
Antigua and Barbuda,americas,19988.0,801787943.10833,75.9,9.5,689.68669172,
Argentina,americas,16972.0,472935255183.887,76.0,14.2,741.83297921,
Armenia,europe,6812.0,4290990646.83563,73.5,17.2,133.47676132,90.0
Australia,asia,41706.0,573453982173.238,82.2,4.5,4774.5349072,100.0
Austria,europe,44029.0,230913313559.149,80.7,4.2,4958.43296203,100.0
Azerbaijan,europe,15754.0,21443003646.0501,70.8,37.3,331.50679782,82.0
Bahamas,americas,22689.0,6758471902.15131,72.6,13.5,1735.05007806,100.0
Bahrain,asia,40083.0,47633144741.44176,78.8,7.8,864.14757011,
Bangladesh,asia,2589.0,88507817580.7322,69.3,46.7,,56.0
Barbados,americas,15336.0,57944031079.30644,75.2,14.4,1003.43251875,100.0
Belarus,europe,16603.0,27380244577.8807,70.3,5.6,319.64040069,93.0
Belgium,europe,40946.0,272271056321.282,80.2,4.4,4618.30832385,100.0
Belize,americas,8178.0,1245956967.53722,71.2,18.5,238.82359199,90.0
Benin,africa,1643.0,3440241814.68618,61.1,109.3,31.0,13.0
Bhutan,asia,6909.0,1042216340.66338,71.7,39.9,108.48876104,44.0
Bolivia,americas,5462.0,12863340654.3939,72.1,44.9,96.52464129,27.0
Bosnia and Herzegovina,europe,9248.0,8349796021.11129,78.2,7.2,499.20787188,95.0
Botswana,africa,14341.0,8833027410.51872,56.5,59.6,614.59870623,62.0
Brazil,americas,15101.0,944612348873.746,73.8,15.9,990.39407477,79.0
Brunei,asia,71991.0,482093128306.86426,76.9,9.5,881.56624127,
Bulgaria,europe,15278.0,19573907739.9826,74.2,12.6,434.89314499,100.0
Burkina Faso,africa,1481.0,4849461450.3539,59.5,106.9,39.77877598,17.0
Burundi,africa,731.0,1207491444.21715,60.8,94.9,20.7200245,46.0
