country,four_regions,income,total_GDP,alc_consumption,BMI_female,BMI_male,fat_female,fat_male,smoking
Algeria,africa,12314.0,74839230785.5443,0.69,26.36841,24.5962,4.815735,4.663696,15.2
Andorra,europe,41426.0,1812015178.7243,10.17,26.43196,27.63048,5.456065,5.557206,32.9
Angola,africa,7103.0,24669478551.8355,5.57,23.48431,22.25083,4.528061,4.39371,
Antigua and Barbuda,americas,25736.0,1024206416.71604,8.17,27.50545,25.76602,4.924793,4.751228,
Argentina,americas,14646.0,394594682114.832,9.35,27.46523,27.5017,5.065472,5.026242,30.0
Armenia,europe,7383.0,4680316716.10111,13.66,27.1342,25.35542,4.800741,4.706854,29.6
Australia,asia,41312.0,542761040949.285,10.21,26.87777,27.56373,5.202036,5.12787,24.8
Austria,europe,43952.0,227557455519.643,12.4,25.09414,26.46741,5.272977,5.297014,43.3
Azerbaijan,europe,14365.0,18499278246.2053,13.34,27.50879,25.65117,4.658935,4.525178,
Bahamas,americas,24373.0,6977385177.63889,8.65,29.13948,27.24594,5.175306,4.999559,
Bahrain,asia,42507.0,13159972968.3652,4.19,28.79094,27.83721,5.156511,5.057669,14.6
Bangladesh,asia,2265.0,73983829245.0437,0.17,20.54531,20.39742,4.363176,4.251678,25.6
Barbados,americas,16075.0,2662289724.61664,6.42,29.22169,26.38439,4.929726,4.713683,10.8
Belarus,europe,14488.0,24103693966.2057,18.85,26.64186,26.16443,5.073228,5.015649,42.6
Belgium,europe,41641.0,268825324877.619,10.41,25.1446,26.75915,5.331377,5.396091,27.1
Belize,americas,8293.0,1187100523.57821,5.92,29.81663,27.02255,4.720925,4.462579,
Benin,africa,1646.0,3121014404.31833,2.08,23.74026,22.41835,4.237692,4.075614,
Bhutan,asia,5663.0,838356459.987534,0.54,22.88243,22.8218,4.508232,4.503437,
Bolivia,americas,5066.0,11373495913.043,5.78,26.8633,24.43335,4.712041,4.576594,31.7
Bosnia and Herzegovina,europe,9316.0,8388323119.45285,9.6,26.35874,26.61163,4.751782,4.675499,42.3
Botswana,africa,13858.0,8255372642.11327,6.97,26.09156,22.12984,4.734947,4.604517,
Brazil,americas,13906.0,857885609995.67,10.08,25.99113,25.78623,4.874394,4.834578,
Brunei,asia,72351.0,6817818067.15013,1.86,22.89231,24.18179,5.213619,5.128779,
Bulgaria,europe,15368.0,20285749708.7162,11.4,25.51574,26.54286,5.041766,4.994091,37.7
Burkina Faso,africa,1358.0,4191056890.72339,7.32,21.63031,21.27157,4.073596,3.903997,16.6
Burundi,africa,723.0,1079207715.28003,9.65,21.27927,21.50291,4.131609,3.948223,
Cambodia,asia,2442.0,7438427180.48109,4.71,21.69608,20.80496,4.554549,4.361526,23.6
Cameroon,africa,2571.0,13287179561.952,7.9,24.9527,23.68173,4.289969,4.065937,7.4
Canada,americas,41468.0,869687235057.888,10.2,26.69829,27.4521,5.141006,5.094217,21.6
Cape Verde,africa,6031.0,890437199.988446,4.98,24.96136,23.51522,4.338017,4.247794,
Chad,africa,1753.0,3017944723.33035,4.39,21.95424,21.48569,4.099921,3.91234,9.4
Chile,americas,18698.0,104806280193.518,8.81,27.92807,27.01542,5.000559,4.969195,37.9
China,asia,7880.0,2692513596728.42,5.56,22.91041,22.92176,4.611427,4.498724,31.8
Colombia,americas,10489.0,141593861545.275,6.59,26.22529,24.94041,4.870046,4.76945,
Comoros,africa,1440.0,237840250.663187,0.28,22.44433,22.06131,4.321585,4.177964,20.7
Costa Rica,americas,12219.0,23497907525.0133,5.81,27.03497,26.47897,4.900936,4.659085,16.8
Croatia,europe,21873.0,30147225799.437,15.0,25.17882,26.59629,5.028399,4.971828,34.0
Cuba,americas,17765.0,48873320833.0563,5.12,26.57614,25.06867,4.665411,4.378235,35.9
Cyprus,europe,35828.0,12388312912.3468,8.84,25.92587,27.41899,5.194153,5.230015,
Denmark,europe,45017.0,177554383049.404,12.02,25.10627,26.13287,5.425409,5.522242,33.4
Djibouti,africa,2502.0,743620824.346805,1.87,24.38177,23.38403,4.657867,4.638244,
Dominica,americas,10425.0,417737931.792272,8.68,28.7839,24.5727,4.875625,4.510241,
Ecuador,americas,9244.0,24044518481.6737,9.43,27.06269,25.58841,4.817482,4.666599,14.9
Egypt,africa,9974.0,145591924088.415,0.32,30.09997,26.73243,4.916249,4.563062,15.1
El Salvador,americas,7450.0,16120541019.2613,3.99,27.84092,26.36751,4.708749,4.473695,
Equatorial Guinea,africa,40143.0,5697997257.51338,6.12,24.52837,23.7664,4.816642,4.684142,
Eritrea,africa,1088.0,726337662.337662,1.64,21.08232,20.88509,4.172728,4.114439,9.1
Estonia,europe,24743.0,9140619357.94319,17.24,25.18598,26.26446,5.231714,5.158978,38.8
Ethiopia,africa,931.0,15292022591.4704,4.1,20.71463,20.247,4.18069,4.110213,4.3
Fiji,asia,7129.0,1936934579.71751,2.76,29.33941,26.53078,5.025619,5.156559,14.4
Finland,europe,42122.0,152970333517.597,13.1,25.58418,26.73339,5.343074,5.176038,28.1
France,europe,37505.0,1504107370104.43,12.48,24.82949,25.85329,5.327744,5.359544,31.7
Gabon,africa,15800.0,6035623995.8102,9.46,25.95121,24.0762,4.895504,4.722539,
Gambia,africa,1566.0,1075628981.89007,3.58,24.82101,21.65029,4.231126,4.003747,16.2
Georgia,europe,5900.0,5475261546.29493,6.66,26.45014,25.54942,4.706504,4.600235,31.9
Germany,europe,41199.0,2103666875607.88,12.14,25.73903,27.16509,5.368319,5.564929,31.6
Ghana,africa,2907.0,7816530775.86755,3.11,24.33014,22.84247,4.171232,3.875089,5.5
Greece,europe,32197.0,164598016076.395,11.01,24.92026,26.33786,4.927866,4.988354,51.8
Grenada,americas,12116.0,614414707.209595,10.71,27.31948,25.17988,4.712835,4.453331,
Guatemala,americas,6960.0,25907634307.4658,7.1,26.84324,25.29947,4.538709,4.224347,14.4
Guinea,africa,1230.0,5404776603.8913,0.79,22.45206,22.52449,4.156562,3.924578,
Guinea-Bissau,africa,1326.0,229323638.928714,3.9,22.92809,21.64338,4.062788,3.871952,
Guyana,americas,5208.0,847007094.757798,8.7,26.47019,23.68465,4.385923,4.100975,
Haiti,americas,1600.0,3799503073.8575,5.92,23.27785,23.66302,4.355793,4.068364,
Honduras,americas,4391.0,10520914743.1572,4.43,26.73191,25.10872,4.573563,4.307533,
Hungary,europe,23334.0,59698693167.7497,16.12,25.97839,27.11568,5.174799,5.125899,39.8
Iceland,europe,42294.0,12048292689.4325,7.38,26.02599,27.20687,5.581013,5.676675,26.3
India,asia,3901.0,820830424070.136,2.69,21.31478,20.95956,4.481642,4.339796,18.6
Indonesia,asia,7856.0,247270439237.57,0.56,22.98693,21.85576,4.709015,4.516899,35.4
Iran,asia,15955.0,155294054014.045,1.03,27.23608,25.31003,5.260951,4.994966,17.6
Iraq,asia,11616.0,22443334374.3582,0.47,28.41117,26.71017,4.892206,4.830298,14.2
Ireland,europe,47713.0,133347535202.826,14.92,26.62176,27.65325,5.319608,5.426346,26.3
Israel,asia,28562.0,160363153467.242,2.52,27.30192,27.13151,5.164751,5.036482,24.6
Italy,europe,37475.0,1190867198487.32,9.72,24.79289,26.4802,5.355439,5.322905,26.1
Jamaica,americas,8951.0,10121988641.2063,5.17,27.22601,24.00421,4.695536,4.417898,15.0
Japan,asia,34800.0,5163457616711.64,7.79,21.87088,23.50004,5.192402,5.190055,29.4
Jordan,asia,10897.0,14453260027.3099,0.65,29.21801,27.47362,5.029216,4.94515,36.5
Kazakhstan,asia,18797.0,37305454671.686,11.1,26.65065,26.29078,4.927793,4.86834,26.6
Kenya,africa,2358.0,17526052448.8404,3.88,23.06181,21.59258,4.373413,4.313368,14.7
Kiribati,asia,1803.0,75173029.0444835,2.7,31.30769,29.2384,4.728397,4.525357,
Kuwait,asia,91966.0,64493883523.2181,0.1,31.16186,29.17211,5.193239,5.161007,
Latvia,europe,20977.0,13722705688.3759,13.45,25.61513,26.45693,5.183279,5.144969,39.4
Lebanon,asia,14158.0,24564306468.4729,2.3,27.70471,27.20117,4.971714,4.755566,18.1
Lesotho,africa,2041.0,990722465.869525,5.56,26.78052,21.90157,4.267026,4.108359,
Liberia,africa,588.0,834546393.201722,5.07,23.21679,21.89537,4.052964,3.80486,
Libya,africa,29853.0,48368325616.3333,0.1,29.19874,26.54164,4.693183,4.593913,
Lithuania,europe,23223.0,20287746250.0,16.3,26.01424,26.86102,5.14751,5.138329,33.0
Luxembourg,europe,95001.0,27270323847.8108,12.84,26.09326,27.43404,5.451582,5.546504,34.7
Madagascar,africa,1528.0,5186794027.88045,1.32,20.73501,21.40347,4.302161,4.219625,
Malawi,africa,674.0,2375260855.55277,1.44,22.91455,22.03468,4.358058,4.232875,15.0
Malaysia,asia,19968.0,139653485880.977,0.87,25.44832,24.73069,5.118313,4.980126,28.8
Mali,africa,1602.0,3798680051.10721,0.99,23.07655,21.78881,4.136197,3.978563,11.2
Malta,europe,27872.0,4602421381.6125,4.1,27.04993,27.68361,5.241376,5.299174,28.7
Mauritania,africa,3356.0,2028435534.83749,0.11,26.26476,22.62295,4.273787,4.151228,13.1
Mauritius,africa,14615.0,6185513728.31866,3.53,26.09824,25.15669,4.917174,4.931328,18.5
Mexico,americas,15826.0,699939486221.459,8.55,28.73751,27.42468,5.150444,4.930845,24.7
Moldova,europe,3890.0,2111088029.60614,23.01,27.05617,24.2369,4.669449,4.580884,26.0
Mongolia,asia,7563.0,2028460485.75373,3.41,25.71375,24.88385,4.714133,4.656973,26.3
Morocco,africa,6091.0,55158232262.2134,1.24,26.22309,25.63182,4.691267,4.533779,15.0
Mozambique,africa,864.0,7900511175.26117,2.27,23.31734,21.93536,4.373212,4.328783,12.8
Namibia,africa,8169.0,5799458891.74165,12.09,25.14988,22.65008,4.601398,4.45634,24.9
Nauru,asia,9657.0,6580743756.44989,4.81,35.02294,33.89634,5.071714,4.767775,49.2
