country,four_regions,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Algeria,africa,13828152296.8353,11946771140.885,9595044251.16904,12887461718.8602,13640013825.4178,14486635612.4623,13790556982.3982,15094173153.9339,16723776097.0818,18134139014.7656,19741305570.9856,17504276280.8934,22304643652.0409,23155159026.6512,24890619159.7293,26146435917.4523,28339273833.7516,29829518899.803,32578260066.9058,35014405841.7006,35291232178.4867,36349967756.1336,38676367201.2135,40764892197.1768,43047724736.9288,44640489377.9809,44819051776.7127,44505319531.5583,44060263881.0676,45998916445.4388,46366908061.6603,45810504880.2624,46635095028.4582,45655757680.5963,45244857430.6481,46964159664.5843,48889689495.629,49427476044.4987,51948279105.4388,53610624833.8552,54790058957.3718,56214597842.9442,58856686556.8579,62917798907.7929,66189522629.187,69565187810.7825,70956491566.9982,73085186314.0081,74839230785.5443,76635372324.3973,79164339611.1024,81143448101.38
Andorra,europe,37451695884.807976,37510551439.34375,35503500105.19379,36470210415.0779,39750011685.57085,43505074889.80197,42767680646.05615,44780390112.52868,47616189522.77735,52068896461.47244,444795764.084084,465476425.37588,503411570.379915,542619606.428042,573108239.736321,576215651.207198,595252614.663862,612149302.446641,621105067.636306,621363115.162526,635087337.166532,634246045.201429,642151679.448685,653518507.832361,665181771.403961,680623539.537239,702766412.715428,741749727.174525,779536863.263267,817165343.67872,848065580.687936,869657335.807588,877738325.549473,868684527.451843,889386976.08641,913911768.386643,956406307.347287,1043130113.06883,1076455908.37794,1120580709.58425,1133644294.5425,1267077319.97626,1341509272.22739,1432119979.33176,1524990240.62539,1615237069.25476,1724910618.73456,1749543575.68364,1812015178.7243,50950051794.77185,52645001440.67255,54078691961.4055
Angola,africa,61075239472.780655,63074331737.802505,61411955959.21852,60052959111.2956,65860009545.7239,72523514167.14165,71744804309.7141,74466607071.12346,78508602948.4729,86003653908.17929,53149729416.23972,56154019798.15691,57088677955.04095,58710573391.06369,61959809102.579544,61944385189.25147,60714635982.14658,440207331.5713485,450297483.47869,460688774.73629797,480444104.990688,486675861.483618,490912342.388522,504541368.298005,527713192.4243035,7218737860.15352,7420862520.23781,8007110659.33664,8455508856.25944,8489330891.68449,8463862899.00944,8362296544.22134,7785298082.67007,5862329456.25056,6067510987.21932,6698532129.89012,7448767728.43783,8037220378.98442,8584134106.35804,8862242854.92285,9129180360.52186,9416016123.89203,10780448533.6873,11137095732.4321,12382535738.5547,14643778507.3551,17680168880.7775,21674668197.0876,24669478551.8355,25264731265.1464,26125663270.2427,27013935821.431
Antigua and Barbuda,americas,84698783060.75333,88638112036.26125,87320411813.24326,83635707807.5133,91970007405.87695,101541953444.48132,100721927973.37204,104152824029.71823,109401016374.16846,119938411354.88614,105854663068.39537,111842563170.93796,113673944339.70198,116878527175.69934,123346509965.42278,123312554727.29575,120834019349.6293,268265360.696056,279489899.321074,300014434.31007,325800872.814844,339105677.765807,339673005.328359,355564228.763649,390244613.444646,421426377.29518,475029380.650007,514281883.68147,542165230.642796,573463791.991776,588059029.529956,600034493.126314,605123888.054018,637740684.137818,678094522.435029,649771716.431242,693563480.729641,727449920.086702,759513521.069664,790817671.326677,802526700.641682,820275710.925346,840972692.20567,883618151.887542,945770280.032218,985378773.366587,1116207501.31458,1009354031.64337,1024206416.71604,918245274.139323,836686777.089306,801787943.10833
Argentina,americas,108322326648.726,114201892334.72,113228867667.268,107218456503.731,118080005266.03,130560392721.821,129699051637.03,133839040988.313,140293429799.864,153873168801.593,158559596720.551,167531106543.719,170259210724.363,175046480960.335,184733210828.266,184680724265.34,180953402717.112,193500979043.209,184781583442.798,203671367614.679,212127318773.802,200058275576.194,190141029714.58,197509229313.404,201877686114.393,186561877750.355,201255080489.854,207111589518.346,201815943167.578,186687437478.628,182208881976.736,205294219093.9,229807939326.394,243382509292.534,257586800996.269,250257916577.157,264088895397.01,285509269184.292,296501886735.844,286463942700.275,284203745280.0,271673657735.95,242076212334.264,263468585945.261,287258675093.519,313626005874.339,340177780212.114,369614509410.546,394594682114.832,397949689763.302,434405530243.887,472935255183.887
Armenia,europe,102500093006.32019,106576151373.82835,106765831249.574,106899885834.58,116049169044.591,125709364433.9495,126711352831.63449,132660844036.998,139268999490.131,150929953253.1275,158569969631.918,166242579166.798,170848976191.47552,175491833206.35748,183911800916.7915,185025192640.3285,185602228235.6595,195189862682.49152,191724370408.7265,205255367218.136,212631376136.181,210228508966.31952,208826968504.9285,209871878924.979,217165821858.0905,215471042486.682,228379176732.0625,234569515817.009,239615106242.544,237515662055.608,2819375628.53822,2489508722.80435,1448894008.24646,1321391353.01774,1392746522.94933,1488846010.84917,1576172795.90915,1628518750.60518,1747400619.39935,1805064839.83953,1911563665.39006,2094244951.85029,2370398385.07891,2703221164.33774,2986190081.0547,3400246575.11425,3849011237.58729,4378219566.04407,4680316716.10111,4018052432.5215,4102285513.22718,4290990646.83563
Australia,asia,96677859363.9144,98950410412.9367,100302794831.88,106581315165.429,114018332823.152,120858336146.078,123723654026.239,131482647085.683,138244569180.398,147986737704.662,158580342543.285,164954051789.877,171438741658.588,175937185452.38,183090391005.317,185369661015.317,190251053754.207,196878746321.774,198667157374.655,206839366821.593,213135433498.56,220398742356.445,227512907295.277,222234528536.554,232453957601.788,244380207223.009,255503272974.271,262027442115.672,277414269317.51,288343886632.588,298651486073.498,297936911237.8,299289734315.328,311518658360.51,323873916078.301,336634494329.048,350710609677.561,364642406351.461,381363194311.653,401040979796.365,416887521195.755,425523831426.099,442135393398.514,456603230863.833,475578723953.24,489651768691.654,504739869396.8,522729696644.7,542761040949.285,550622241459.138,563049439184.944,573453982173.238
Austria,europe,52392699681.3371,55294196571.7437,56758760195.2466,59107589568.1077,62727547439.0442,64910575811.6916,68573389645.7837,70636109982.8696,73795177758.6666,78426465089.7652,82875391402.8378,87114441713.8044,92522385131.3871,97047132640.8689,100872864669.719,100505954054.367,105107564261.927,110372013894.08,110210736055.87,116223961463.885,118297013218.397,118126455202.056,120426376420.531,123982344405.597,124057574520.463,127104769469.838,130049304257.449,131800268995.234,135933234154.397,141217060614.818,147353847860.426,152425218284.125,155616277925.854,156436079198.988,160193859615.067,164467805620.95,168524640771.732,172415724529.77,178942595486.762,185275602636.496,192070749953.934,193717569559.609,196998621885.414,198704472152.391,203850083131.644,208743854863.336,216404316585.328,224424149682.138,227557455519.643,218887605292.606,223954137424.163,230913313559.149
Azerbaijan,europe,26849484585.74722,28369903559.413876,29177732767.73237,30436166554.215107,32338808344.60891,33531975705.324673,35461058965.04341,36605135968.085434,38293064781.291145,40734045362.39634,42872587919.73532,45015451738.909966,47668424211.12676,50037291171.46801,51696544252.949005,51326553012.21302,53683025018.92047,56418631226.147964,56512772496.62758,59887270819.98175,61039106765.76578,60779393325.17169,62044318135.13388,63888168811.52387,64194610116.986694,65822799077.56768,67335865816.375916,68280326794.21706,70401784873.04623,73207519837.61707,8954048115.9228,8891369779.11134,6881920209.03218,5292196640.74574,4249633902.51883,3748177102.02161,3796903404.34789,4017123801.80007,4418836181.98008,4745830059.4466,5272617196.04517,5794606298.45365,6408834566.08973,7126624037.49178,7853539689.31594,9926874167.29536,13351645755.0122,16696099500.1853,18499278246.2053,20219711123.1024,21230696679.2575,21443003646.0501
Bahamas,americas,1306269490.15734,1445610547.08405,1596705340.21814,1764743540.32252,1950069250.17362,2153375598.95775,2348728284.30312,2574161953.30126,2790951803.9157,3041625635.02748,2869784436.63284,2916461764.01554,2814463290.86642,3027449702.06713,2520223836.17901,2147151970.05903,2258485775.91394,2465248558.21592,2814808937.38517,3550580176.07851,3781200313.13455,3432331448.28738,3662259849.73675,3793993217.45074,4331645713.51039,4540828685.29736,4622427375.30282,4760384593.20012,4870335591.69545,5197979060.41612,5115006358.45677,4901107868.38573,4713611931.66268,4728120733.35332,4877005298.80194,5090557215.977,5305558437.98978,5414971796.89543,5670367524.31695,6075465947.88841,6327552000.0,6493689921.40694,6669320175.47359,6584970306.77758,6643107971.33632,6868660929.31665,7041535772.60845,7143393151.85817,6977385177.63889,6638286665.47619,6650151639.3036,6758471902.15131
